Selling_Price,Present_Price,Fuel_Type_Petrol,Transmission_Manual,Seller_Type_Dealer,Novo,Ano,0-10k,10k-20k,20k-30k,30k-40k,40k-50k,50k-60k,60k-70k,70k-80k,80k-90k,90k-100k,100k-110k,110k-120k,120k-300k
3.35,5.59,1,1,1,1,2014,0,0,1,0,0,0,0,0,0,0,0,0,0
4.75,9.54,0,1,1,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
7.25,9.85,1,1,1,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
2.85,4.15,1,1,1,1,2011,1,0,0,0,0,0,0,0,0,0,0,0,0
4.6,6.87,0,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
9.25,9.83,0,1,1,1,2018,1,0,0,0,0,0,0,0,0,0,0,0,0
6.75,8.12,1,1,1,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
6.5,8.61,0,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
8.75,8.89,0,1,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
7.45,8.92,0,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
2.85,3.6,1,1,1,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
6.85,10.38,0,1,1,1,2015,0,0,0,0,0,1,0,0,0,0,0,0,0
7.5,9.94,1,0,1,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
6.1,7.71,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
2.25,7.21,1,1,1,1,2009,0,0,0,0,0,0,0,1,0,0,0,0,0
7.75,10.79,0,1,1,1,2016,0,0,0,0,1,0,0,0,0,0,0,0,0
7.25,10.79,0,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
7.75,10.79,0,1,1,1,2016,0,0,0,0,1,0,0,0,0,0,0,0,0
3.25,5.09,1,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
2.65,7.98,1,1,1,1,2010,0,0,0,0,1,0,0,0,0,0,0,0,0
2.85,3.95,1,1,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
4.9,5.71,1,1,1,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
4.4,8.01,1,0,1,1,2011,0,0,0,0,1,0,0,0,0,0,0,0,0
2.5,3.46,1,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
2.9,4.41,1,1,1,1,2013,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,4.99,1,1,1,1,2011,0,1,0,0,0,0,0,0,0,0,0,0,0
4.15,5.87,1,1,1,1,2013,0,0,0,0,0,1,0,0,0,0,0,0,0
6.0,6.49,1,1,0,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
1.95,3.95,1,1,1,1,2010,0,0,0,0,1,0,0,0,0,0,0,0,0
7.45,10.38,0,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
3.1,5.98,0,1,1,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0
2.35,4.89,1,1,1,1,2011,0,0,0,0,0,1,0,0,0,0,0,0,0
4.95,7.49,0,1,1,1,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
6.0,9.95,0,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
5.5,8.06,0,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
2.95,7.74,1,1,1,1,2011,0,0,0,0,1,0,0,0,0,0,0,0,0
4.65,7.2,1,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
0.35,2.28,1,1,0,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,3.76,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
2.25,7.98,1,1,1,1,2003,0,0,0,0,0,0,1,0,0,0,0,0,0
5.85,7.87,1,0,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
2.55,3.98,1,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
1.95,7.15,1,1,1,1,2008,0,0,0,0,0,1,0,0,0,0,0,0,0
5.5,8.06,0,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
1.25,2.69,1,1,1,1,2012,0,0,0,0,1,0,0,0,0,0,0,0,0
7.5,12.04,1,0,1,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
2.65,4.89,1,1,1,1,2013,0,0,0,0,0,0,1,0,0,0,0,0,0
1.05,4.15,1,1,1,1,2006,0,0,0,0,0,0,1,0,0,0,0,0,0
5.8,7.71,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
7.75,9.29,1,0,1,1,2017,0,0,0,1,0,0,0,0,0,0,0,0,0
14.9,30.61,0,0,1,1,2012,0,0,0,0,0,0,0,0,0,0,1,0,0
23.0,30.61,0,0,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
18.0,19.77,0,0,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
16.0,30.61,0,0,0,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,1
2.75,10.21,1,1,0,1,2005,0,0,0,0,0,0,0,0,1,0,0,0,0
3.6,15.04,1,0,1,1,2009,0,0,0,0,0,0,1,0,0,0,0,0,0
4.5,7.27,1,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
4.75,18.54,1,1,1,1,2010,0,0,0,0,1,0,0,0,0,0,0,0,0
4.1,6.8,1,1,1,0,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
19.99,35.96,0,0,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
6.95,18.61,1,1,1,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
4.5,7.7,1,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
18.75,35.96,0,0,1,1,2014,0,0,0,0,0,0,0,1,0,0,0,0,0
23.5,35.96,0,0,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
33.0,36.23,0,0,1,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
4.75,6.95,0,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
19.75,23.15,1,0,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
9.25,20.45,0,1,1,1,2010,0,0,0,0,0,1,0,0,0,0,0,0,0
4.35,13.74,1,1,1,1,2011,0,0,0,0,0,0,0,0,1,0,0,0,0
14.25,20.91,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
3.95,6.76,0,1,1,1,2014,0,0,0,0,0,0,0,1,0,0,0,0,0
4.5,12.48,0,1,1,1,2011,0,0,0,0,1,0,0,0,0,0,0,0,0
7.45,18.61,1,1,1,1,2013,0,0,0,0,0,1,0,0,0,0,0,0,0
2.65,5.71,1,1,1,1,2011,0,0,0,0,1,0,0,0,0,0,0,0,0
4.9,8.93,0,1,1,1,2014,0,0,0,0,0,0,0,0,1,0,0,0,0
3.95,6.8,1,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
5.5,14.68,1,1,1,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,12.35,1,0,1,1,2004,0,0,0,0,0,0,0,0,0,0,0,0,1
5.25,22.83,1,0,1,1,2010,0,0,0,0,0,0,0,1,0,0,0,0,0
14.5,30.61,0,0,1,1,2012,0,0,0,0,0,0,0,0,1,0,0,0,0
14.73,14.89,0,1,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
4.75,7.85,0,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
23.0,25.39,0,0,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
12.5,13.46,0,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
3.49,13.46,0,1,1,1,2005,0,0,0,0,0,0,0,0,0,0,0,0,1
2.5,23.73,1,0,0,0,2006,0,0,0,0,0,0,0,0,0,0,0,0,1
35.0,92.6,0,1,1,1,2010,0,0,0,0,0,0,0,1,0,0,0,0,0
5.9,13.74,1,1,1,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0
3.45,6.05,1,1,1,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
4.75,6.76,1,1,1,1,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
3.8,18.61,1,1,1,1,2009,0,0,0,0,0,0,1,0,0,0,0,0,0
11.25,16.09,0,1,1,1,2014,0,0,0,0,0,1,0,0,0,0,0,0,0
3.51,13.7,1,1,1,1,2005,0,0,0,0,0,0,0,1,0,0,0,0,0
23.0,30.61,0,0,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
4.0,22.78,1,0,1,1,2008,0,0,0,0,0,0,0,0,1,0,0,0,0
5.85,18.61,1,1,1,1,2012,0,0,0,0,0,0,0,1,0,0,0,0,0
20.75,25.39,0,0,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
17.0,18.64,1,1,1,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
7.05,18.61,1,1,1,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
9.65,20.45,0,1,1,1,2010,0,0,0,0,0,1,0,0,0,0,0,0,0
1.75,1.9,1,1,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
1.7,1.82,1,1,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
1.65,1.78,1,1,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
1.45,1.6,1,1,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
1.35,1.47,1,1,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
1.35,2.37,1,1,0,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
1.35,3.45,1,1,0,0,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
1.25,1.5,1,1,0,1,2013,0,1,0,0,0,0,0,0,0,0,0,0,0
1.2,1.5,1,1,0,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
1.2,1.47,1,1,0,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
1.2,1.78,1,1,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
1.15,1.5,1,1,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
1.15,2.4,1,1,0,1,2014,1,0,0,0,0,0,0,0,0,0,0,0,0
1.15,1.4,1,1,0,1,2016,0,0,0,1,0,0,0,0,0,0,0,0,0
1.15,1.47,1,1,0,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
1.11,1.47,1,1,0,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1,1.47,1,1,0,1,2013,0,0,0,1,0,0,0,0,0,0,0,0,0
1.1,1.9,1,1,0,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
1.1,1.47,1,1,0,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
1.05,1.9,1,1,0,1,2013,1,0,0,0,0,0,0,0,0,0,0,0,0
1.05,1.26,1,1,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
1.05,1.5,1,1,0,1,2011,1,0,0,0,0,0,0,0,0,0,0,0,0
1.05,1.17,1,1,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.47,1,1,0,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
0.95,1.75,1,1,0,1,2012,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9,1.75,1,1,0,1,2009,0,0,0,1,0,0,0,0,0,0,0,0,0
0.9,0.95,1,1,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.8,1,1,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0.87,1,1,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.78,0.84,1,1,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.87,1,1,0,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
0.75,0.82,1,1,0,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
0.75,0.95,1,1,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.72,0.95,1,1,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
0.65,0.81,1,1,0,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
0.65,0.74,1,1,0,1,2015,1,0,0,0,0,0,0,0,0,0,0,0,0
0.65,1.2,1,1,0,1,2014,0,0,1,0,0,0,0,0,0,0,0,0,0
0.65,0.787,1,1,0,1,2013,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6,0.87,1,1,0,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6,0.95,1,1,0,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6,1.2,1,1,0,1,2013,0,0,0,1,0,0,0,0,0,0,0,0,0
0.6,0.8,1,1,0,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
0.6,0.84,1,1,0,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6,0.84,1,1,0,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6,0.99,1,1,0,1,2014,0,0,1,0,0,0,0,0,0,0,0,0,0
0.6,0.81,1,1,0,1,2012,0,1,0,0,0,0,0,0,0,0,0,0,0
0.55,0.787,1,1,0,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
0.55,0.84,1,1,0,1,2015,0,0,0,0,0,1,0,0,0,0,0,0,0
0.52,0.94,1,1,0,1,2010,0,0,0,0,1,0,0,0,0,0,0,0,0
0.51,0.94,1,1,0,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
0.5,0.826,1,1,0,1,2011,1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.55,1,1,0,1,2016,0,0,0,1,0,0,0,0,0,0,0,0,0
0.5,0.99,1,1,0,1,2012,0,1,0,0,0,0,0,0,0,0,0,0,0
0.5,0.99,1,1,0,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
0.5,0.88,1,1,0,1,2014,1,0,0,0,0,0,0,0,0,0,0,0,0
0.48,0.51,1,0,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.48,0.52,1,1,0,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
0.48,0.84,1,1,0,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
0.48,0.54,1,1,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0.51,1,0,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0.95,1,1,0,1,2011,0,0,1,0,0,0,0,0,0,0,0,0,0
0.45,0.826,1,1,0,1,2014,0,0,1,0,0,0,0,0,0,0,0,0,0
0.45,0.99,1,1,0,1,2012,0,1,0,0,0,0,0,0,0,0,0,0,0
0.45,0.95,1,1,0,1,2010,0,0,1,0,0,0,0,0,0,0,0,0,0
0.45,0.54,1,1,0,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
0.45,0.54,1,0,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
0.45,0.55,1,1,0,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
0.42,0.81,1,1,0,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
0.42,0.73,1,1,0,1,2013,0,1,0,0,0,0,0,0,0,0,0,0,0
0.4,0.54,1,1,0,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
0.4,0.83,1,1,0,1,2012,1,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.55,1,1,0,1,2015,1,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0.64,1,1,0,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
0.4,0.51,1,0,0,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
0.38,0.72,1,1,0,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
0.38,0.787,1,1,0,1,2011,0,0,0,0,0,0,0,1,0,0,0,0,0
0.35,1.05,1,1,0,1,2011,0,0,1,0,0,0,0,0,0,0,0,0,0
0.35,0.57,1,0,0,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
0.35,0.52,1,0,0,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
0.31,1.05,1,1,0,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,0.51,1,1,0,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0
0.3,0.48,1,1,0,1,2016,0,0,0,0,1,0,0,0,0,0,0,0,0
0.3,0.58,1,1,0,1,2013,0,0,1,0,0,0,0,0,0,0,0,0,0
0.27,0.47,1,1,0,1,2013,0,0,1,0,0,0,0,0,0,0,0,0,0
0.25,0.75,1,1,0,0,2008,0,0,1,0,0,0,0,0,0,0,0,0,0
0.25,0.58,1,0,0,1,2008,1,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.52,1,0,0,1,2010,0,0,1,0,0,0,0,0,0,0,0,0,0
0.25,0.51,1,1,0,1,2013,0,0,0,1,0,0,0,0,0,0,0,0,0
0.25,0.57,1,1,0,1,2013,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2,0.57,1,1,0,1,2005,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2,0.75,1,1,0,1,2008,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2,0.57,1,1,0,0,2012,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2,0.75,1,1,0,0,2007,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,0.65,1,1,0,0,2013,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2,0.787,1,1,0,1,2008,0,0,0,0,1,0,0,0,0,0,0,0,0
0.18,0.32,1,1,0,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
0.16,0.51,1,1,0,1,2010,0,0,0,1,0,0,0,0,0,0,0,0,0
0.15,0.57,1,1,0,0,2011,0,0,0,1,0,0,0,0,0,0,0,0,0
0.12,0.58,1,1,0,1,2007,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1,0.75,1,1,0,1,2006,0,0,0,0,0,0,0,0,0,1,0,0,0
3.25,6.79,0,1,1,0,2010,0,0,0,0,0,1,0,0,0,0,0,0,0
4.4,5.7,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
2.95,4.6,1,1,1,1,2011,0,0,0,0,0,1,0,0,0,0,0,0,0
2.75,4.43,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
5.25,5.7,1,1,1,0,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
5.75,7.13,1,1,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
5.15,5.7,1,0,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
7.9,8.1,1,1,1,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
4.85,5.7,0,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
3.1,4.6,1,1,1,1,2012,0,0,0,1,0,0,0,0,0,0,0,0,0
11.75,14.79,0,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
11.25,13.6,1,1,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
2.9,6.79,1,1,1,1,2011,0,0,0,1,0,0,0,0,0,0,0,0,0
5.25,5.7,1,1,1,1,2017,0,0,1,0,0,0,0,0,0,0,0,0,0
4.5,9.4,1,1,1,1,2012,0,0,0,1,0,0,0,0,0,0,0,0,0
2.9,4.43,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
3.15,4.43,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
6.45,9.4,1,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
4.5,9.4,1,1,1,1,2012,0,0,0,1,0,0,0,0,0,0,0,0,0
3.5,4.43,1,1,1,1,2017,0,0,0,1,0,0,0,0,0,0,0,0,0
4.5,6.79,1,0,1,1,2013,0,0,0,1,0,0,0,0,0,0,0,0,0
6.0,7.6,0,1,1,1,2014,0,0,0,0,0,0,0,1,0,0,0,0,0
8.25,9.4,0,1,1,1,2015,0,0,0,0,0,0,1,0,0,0,0,0,0
5.11,9.4,1,0,1,1,2013,0,0,0,1,0,0,0,0,0,0,0,0,0
2.7,4.6,1,1,1,1,2011,0,0,1,0,0,0,0,0,0,0,0,0,0
5.25,5.7,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
2.55,4.43,1,1,1,1,2011,0,0,0,0,0,1,0,0,0,0,0,0,0
4.95,9.4,0,1,1,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0
3.1,6.79,0,1,1,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0
6.15,9.4,0,1,1,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
9.25,9.4,1,1,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
11.45,14.79,1,0,1,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
3.9,5.7,0,1,1,1,2013,0,0,0,0,0,1,0,0,0,0,0,0,0
5.5,5.7,1,1,1,1,2015,1,0,0,0,0,0,0,0,0,0,0,0,0
9.1,9.4,1,1,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
3.1,4.43,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
11.25,13.6,0,1,1,1,2015,0,0,0,0,0,0,1,0,0,0,0,0,0
4.8,9.4,1,1,1,1,2013,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,4.43,1,1,1,1,2012,0,0,1,0,0,0,0,0,0,0,0,0,0
5.35,9.4,0,1,1,1,2012,0,0,0,1,0,0,0,0,0,0,0,0,0
4.75,7.13,1,1,1,0,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
4.4,7.13,1,1,1,1,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
6.25,7.6,1,1,1,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
5.95,9.4,0,1,1,1,2013,0,0,0,0,1,0,0,0,0,0,0,0,0
5.2,9.4,0,1,1,1,2012,0,0,0,0,0,0,0,1,0,0,0,0,0
3.75,6.79,1,1,1,1,2012,0,0,0,1,0,0,0,0,0,0,0,0,0
5.95,9.4,1,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
4.0,4.6,1,1,1,1,2013,0,0,1,0,0,0,0,0,0,0,0,0,0
5.25,7.6,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
12.9,13.6,0,1,1,1,2016,0,0,0,1,0,0,0,0,0,0,0,0,0
5.0,9.9,1,1,1,1,2013,0,0,0,0,0,1,0,0,0,0,0,0,0
5.4,6.82,1,0,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
7.2,9.9,0,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
5.25,9.9,1,1,1,1,2013,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,5.35,1,1,1,1,2012,0,0,0,0,0,1,0,0,0,0,0,0,0
10.25,13.6,1,1,1,1,2016,0,0,0,0,1,0,0,0,0,0,0,0,0
8.5,13.6,1,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
8.4,13.6,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
3.9,7.0,1,1,1,1,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
9.15,13.6,1,1,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
5.5,5.97,1,1,1,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,5.8,1,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
6.6,7.7,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,7.0,1,1,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
6.5,8.7,1,1,1,1,2017,0,0,1,0,0,0,0,0,0,0,0,0,0
3.65,7.0,1,1,1,1,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
8.35,9.4,0,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
4.8,5.8,1,1,1,1,2017,0,1,0,0,0,0,0,0,0,0,0,0,0
6.7,10.0,1,1,1,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
4.1,10.0,1,1,1,1,2011,0,0,0,0,0,0,1,0,0,0,0,0,0
3.0,10.0,1,1,1,1,2009,0,0,0,0,0,0,1,0,0,0,0,0,0
7.5,10.0,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
2.25,7.5,1,1,1,1,2010,0,0,0,0,0,0,1,0,0,0,0,0,0
5.3,6.8,1,1,1,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
10.9,13.6,1,0,1,1,2016,0,0,0,1,0,0,0,0,0,0,0,0,0
8.65,13.6,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
9.7,13.6,1,1,1,1,2015,0,0,1,0,0,0,0,0,0,0,0,0,0
6.0,8.4,1,1,1,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
6.25,13.6,1,1,1,1,2014,0,0,0,0,1,0,0,0,0,0,0,0,0
5.25,5.9,1,1,1,1,2015,0,1,0,0,0,0,0,0,0,0,0,0,0
2.1,7.6,1,1,1,1,2006,0,0,0,0,0,1,0,0,0,0,0,0,0
8.25,14.0,0,1,1,1,2014,0,0,0,0,0,0,1,0,0,0,0,0,0
8.99,11.8,1,1,1,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
3.5,5.9,1,1,1,1,2013,1,0,0,0,0,0,0,0,0,0,0,0,0
7.4,8.5,1,0,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
5.65,7.9,1,1,1,1,2016,0,0,1,0,0,0,0,0,0,0,0,0,0
5.75,7.5,1,0,1,1,2015,0,0,0,0,1,0,0,0,0,0,0,0,0
8.4,13.6,1,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
10.11,13.6,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
4.5,6.4,1,1,1,1,2014,0,1,0,0,0,0,0,0,0,0,0,0,0
5.4,6.1,1,1,1,1,2015,0,0,0,1,0,0,0,0,0,0,0,0,0
6.4,8.4,1,1,1,1,2016,0,1,0,0,0,0,0,0,0,0,0,0,0
3.25,9.9,1,1,1,1,2010,0,0,0,1,0,0,0,0,0,0,0,0,0
3.75,6.8,1,1,1,1,2014,0,0,0,1,0,0,0,0,0,0,0,0,0
8.55,13.09,0,1,1,1,2015,0,0,0,0,0,0,1,0,0,0,0,0,0
9.5,11.6,0,1,1,1,2016,0,0,0,1,0,0,0,0,0,0,0,0,0
4.0,5.9,1,1,1,1,2015,0,0,0,0,0,1,0,0,0,0,0,0,0
3.35,11.0,1,1,1,1,2009,0,0,0,0,0,0,0,0,1,0,0,0,0
11.5,12.5,0,1,1,1,2017,1,0,0,0,0,0,0,0,0,0,0,0,0
5.3,5.9,1,1,1,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0
